-,-,-
-114, -35, 1021
-86, -53, 922
-104, -44, 935
-109, -56, 999
-119, -43, 1044
-111, -17, 1004
-73, 8, 866
-95, -12, 882
-95, -12, 882
-123, -32, 944
-134, -12, 948
-116, 22, 837
-115, 43, 727
-120, 33, 649
-120, 33, 649
-129, 26, 586
-129, 73, 348
-128, 148, 33
-127, 116, -151
-90, 75, -209
-90, 75, -209
-33, 73, -319
40, -23, -392
38, -58, -180
110, -25, 69
110, -25, 69
392, -163, 304
551, -383, 1210
596, -313, 1957
725, -311, 1998
651, -381, 1998
483, -375, 1998
384, -156, 1998
352, 5, 1998
352, 5, 1998
352, 52, 1787
354, -11, 1508
304, 77, 1362
-,-,-
-77, -28, 1012
-68, -68, 1071
-32, -24, 985
-49, 15, 901
-94, 35, 959
-94, 35, 959
-109, 6, 1015
-80, 6, 993
-54, 20, 857
-86, 18, 835
-86, 18, 835
-90, -3, 668
-103, -19, 499
-76, -39, 238
-13, -79, -44
-13, -79, -44
-53, -45, -257
-99, 49, -437
-58, 91, -494
-23, -35, -317
-72, -141, 22
-72, -141, 22
93, -187, 204
357, -220, 828
455, -133, 1204
556, -118, 1914
563, -167, 1957
565, -233, 1984
658, -306, 1991
587, -381, 1998
587, -381, 1998
454, -234, 1998
385, -64, 1938
336, 28, 1666
347, -16, 1701
312, -68, 1940
-,-,-
-112, 148, 928
-98, 81, 1049
-65, 59, 1083
-15, 72, 911
-42, 87, 958
-42, 87, 958
-76, 79, 1098
-75, 59, 1107
-46, 66, 1009
-35, 63, 904
-35, 63, 904
-71, 56, 882
-101, 64, 826
-67, 31, 605
-67, 31, 605
-98, 13, 409
-122, 12, 144
-99, 7, -171
-98, -4, -362
-98, -4, -362
-104, 19, -404
-106, 77, -472
-89, 57, -403
-11, -102, -86
162, -218, 353
162, -218, 353
316, -228, 885
509, -309, 1250
643, -156, 1523
633, -306, 1959
642, -578, 1787
610, -313, 1998
534, -260, 1987
473, -176, 1998
445, -76, 1998
470, -72, 1998
470, -72, 1998
482, -128, 1998
452, 0, 1888
530, -139, 1807
-,-,-
-165, 71, 1024
-75, -23, 1058
-14, -18, 963
-38, 2, 877
-38, 2, 877
-94, 1, 996
-106, 4, 1080
-53, -11, 1004
-17, -35, 935
-17, -35, 935
-27, -64, 887
-69, -28, 862
-68, -1, 765
-2, -55, 428
-2, -55, 428
-37, -133, 332
-74, -173, 223
-113, -67, 47
-106, 13, -282
-96, -8, -364
-96, -8, -364
-125, -1, -219
-186, 205, -235
-146, 320, -211
99, 84, 183
425, -183, 886
627, -191, 1680
627, -191, 1680
665, 27, 1990
903, -135, 1893
1053, -602, 1998
957, -690, 1998
855, -545, 1998
729, -354, 1998
624, -244, 1979
534, -159, 1843
495, -75, 1777
-,-,-
-113, 76, 1014
-113, 76, 1014
-83, 128, 1016
-63, 96, 1013
-4, 54, 1039
28, 25, 1055
28, 25, 1055
27, 4, 1068
15, -16, 1074
11, 0, 947
11, 0, 947
-3, 5, 768
-19, 3, 630
-19, 3, 630
-20, -25, 552
-14, 3, 454
5, 33, 197
5, 33, 197
-13, 28, -97
-50, 10, -230
-57, -72, -280
-57, -72, -280
-44, -167, -344
22, -249, -410
136, -356, -28
204, -319, 612
360, -94, 1156
509, 91, 1573
636, -7, 1971
636, -7, 1971
797, -236, 1998
949, -486, 1998
899, -561, 1998
818, -389, 1998
753, -144, 1998
663, 2, 1998
620, 23, 1822
620, 23, 1822
574, 12, 1628
585, -228, 1759
-,-,-
-207, 69, 1125
-207, 69, 1125
-158, 35, 1126
-97, 57, 966
-113, 124, 918
-112, 124, 903
-105, 122, 884
-65, 157, 744
-65, 157, 744
-40, 114, 609
-44, 43, 514
-61, 42, 307
-36, -21, 44
-36, -21, 44
-40, -71, -230
-88, -77, -457
-88, -122, -466
-91, -105, -209
-31, -126, 10
40, -243, 264
40, -243, 264
101, -375, 673
275, -349, 1080
414, -263, 1588
545, -369, 1922
574, -419, 1998
517, -229, 1998
507, -151, 1998
460, -114, 1998
439, -149, 1998
439, -149, 1998
431, -158, 1998
375, -108, 1990
331, -125, 1900
-,-,-
-156, 53, 1155
-98, 50, 1002
-105, 69, 1047
-108, 66, 1082
-100, 42, 1065
-69, 10, 954
-69, 10, 954
-89, 17, 903
-100, 63, 779
-77, 27, 682
-56, -23, 616
-56, -23, 616
-45, -20, 393
-53, 28, 102
-65, -11, -58
-59, -140, -174
-59, -140, -174
-63, -140, -374
-77, -60, -540
-111, -72, -303
-98, -78, 32
81, -190, 535
278, -263, 965
430, -222, 1257
628, -307, 1900
628, -307, 1900
740, -206, 1998
750, -185, 1998
721, -239, 1998
628, -196, 1998
537, -108, 1998
463, -77, 1998
407, -157, 1972
-,-,-
-35, 92, 933
-35, 92, 933
-63, 131, 1138
4, 71, 1091
97, 39, 942
97, 39, 942
63, 49, 975
18, 80, 945
18, 80, 945
-10, 58, 875
42, 63, 551
30, -17, 301
30, -17, 301
-48, -69, 211
-102, -10, 42
-71, 12, -111
-75, -76, -54
-75, -76, -54
-120, -85, 14
-101, -156, 29
-27, -224, -88
45, -185, 179
230, -293, 570
352, -415, 1185
352, -415, 1185
341, -290, 1525
440, -171, 1464
703, -352, 1516
822, -698, 1997
710, -612, 1998
610, -182, 1998
602, -78, 1998
492, -95, 1998
419, -148, 1998
-,-,-
-206, 190, 819
-226, 61, 1080
-226, 61, 1080
-142, -59, 1082
-140, 63, 1104
-127, 134, 891
-149, 153, 908
-148, 71, 981
-102, 93, 815
-102, 93, 815
-107, 159, 701
-104, 154, 609
-87, 92, 558
-53, 27, 448
-57, 17, 290
-57, 17, 290
-98, -36, 165
-101, -48, -216
-99, -42, -330
-31, -136, -228
13, -194, 157
13, -194, 157
57, -192, 411
127, -235, 591
289, -335, 632
429, -259, 1006
502, -245, 1846
636, -513, 1998
637, -467, 1998
587, -266, 1998
526, -247, 1998
526, -247, 1998
429, -205, 1998
400, -149, 1998
406, -201, 1998
-,-,-
-176, 56, 961
-173, 48, 1157
-125, 3, 1140
-125, 3, 1140
-125, 41, 1065
-123, 30, 1103
-135, 37, 1053
-139, 109, 915
-130, 130, 750
-113, 43, 669
-113, 43, 669
-90, -7, 546
-74, 10, 287
-73, 0, -12
-73, 0, -12
-63, -48, -224
-49, -86, -224
-21, -79, -193
5, -43, -164
46, -10, -90
46, -10, -90
89, -53, 105
170, -45, 467
296, -131, 1025
460, -203, 1451
613, -82, 1506
613, -82, 1506
749, -345, 1892
684, -456, 1998
697, -271, 1998
681, -63, 1998
581, -106, 1998
439, -60, 1998
365, -6, 1998
324, -46, 1998
-,-,-
-90, 67, 1062
-170, 117, 1140
-142, 155, 1081
-142, 155, 1081
-100, 84, 926
-98, 10, 950
-81, 10, 792
-55, 59, 484
-26, 57, 258
-26, 57, 258
-33, 15, 136
-30, -75, 69
-27, -114, -132
-27, -114, -132
-66, -60, -317
-101, 104, -485
-66, 102, -556
32, -213, -95
139, -314, 228
331, -180, 403
538, -211, 1038
789, -286, 1725
928, -411, 1998
928, -411, 1998
1014, -529, 1998
1005, -430, 1998
925, -339, 1998
829, -216, 1998
724, -75, 1998
649, -14, 1996
-,-,-
-88, 165, 782
-88, 165, 782
-143, 150, 1043
-38, 22, 979
-31, 28, 993
-43, 107, 921
-65, 169, 918
-65, 169, 918
-63, 131, 941
-59, 89, 839
-35, 83, 603
-35, 83, 603
-32, 37, 259
-38, -49, -80
-49, -71, -299
-56, -40, -411
-53, -36, -293
-53, -36, -293
-32, -60, -367
44, -73, -546
173, -173, -347
353, -285, 537
487, -271, 1447
589, -21, 1838
726, -177, 1903
809, -549, 1998
809, -549, 1998
844, -624, 1998
856, -598, 1998
741, -559, 1998
614, -348, 1998
511, -131, 1998
448, -43, 1998
-,-,-
-99, 101, 1074
-74, 48, 1119
-74, 48, 1119
-6, 34, 891
-45, 83, 838
-95, 129, 820
-95, 129, 820
-92, 100, 858
-44, 120, 669
-37, 127, 439
-61, 75, 347
-70, 75, 368
-70, -2, 368
-22, 16, 177
-11, 54, -193
-38, 5, -633
-38, 5, -633
-12, -202, -504
83, -399, -147
122, -254, 37
269, -190, 18
446, -281, 496
446, -281, 496
708, -659, 1356
853, -893, 1993
828, -809, 1998
810, -553, 1998
834, -534, 1998
745, -449, 1998
679, -250, 1998
656, -53, 1998
614, -32, 1998
-,-,-
-67, 183, 779
-109, 160, 930
-109, 160, 930
-19, 92, 990
19, 89, 1068
-1, 168, 1034
-23, 225, 934
-9, 226, 775
-9, 226, 775
9, 198, 608
-12, 155, 486
-27, 107, 396
-27, 107, 396
-36, 126, 100
-35, 143, -210
-54, -7, -387
-65, -165, -398
-73, -93, -357
-39, 4, -323
-39, 4, -323
-7, -41, -22
113, -226, 365
306, -414, 760
663, -738, 1092
830, -1047, 1896
830, -1047, 1896
897, -1189, 1998
825, -1131, 1998
667, -869, 1998
582, -694, 1998
469, -551, 1998
-,-,-
-168, 293, 807
-137, 286, 833
-70, 124, 920
-44, 58, 936
-44, 58, 936
-83, 176, 846
-92, 205, 759
-74, 184, 676
-14, 126, 523
-14, 126, 523
-21, 68, 486
-14, 70, 355
-2, 132, -148
10, 100, -569
10, 100, -569
-20, -144, -457
-144, -327, -14
-74, -196, -435
53, -32, -863
251, -328, -253
410, -614, 1203
587, -331, 1949
704, -223, 1998
757, -617, 1998
751, -844, 1998
751, -844, 1998
646, -665, 1998
618, -526, 1998
528, -460, 1998
465, -294, 1998
-,-,-
-49, 210, 653
-108, 284, 799
-106, 185, 1186
-49, 26, 1243
-43, 142, 1101
-79, 305, 902
-140, 360, 919
-140, 360, 919
-105, 173, 1043
-65, 156, 899
-79, 175, 673
-84, 133, 502
-48, 35, 311
-48, 35, 311
-12, 35, 85
-16, -5, -60
-5, -75, -325
11, -156, -509
11, -156, -509
23, -121, -520
-13, -53, -359
-41, -34, -85
-11, 42, 138
179, 153, 317
179, 153, 317
326, -3, 1043
544, -494, 1954
645, -312, 1998
759, -195, 1998
940, -601, 1998
854, -960, 1998
727, -816, 1998
654, -535, 1998
524, -327, 1998
-,-,-
-67, 86, 1013
-52, 145, 953
-52, 99, 960
-39, 6, 1126
-15, -37, 1153
-15, -37, 1153
5, 39, 1033
-38, 157, 956
-50, 161, 830
-33, 75, 756
-33, 75, 756
-34, 61, 703
-28, 65, 599
-40, 76, 430
-60, 126, 230
-60, 126, 230
-51, 80, 82
-32, -16, -87
-68, -91, -217
-115, -199, -329
-97, -143, -603
-97, -143, -603
-33, -19, -777
65, -76, -463
245, -242, 275
435, -267, 1059
700, -361, 1232
1023, -617, 1770
1114, -513, 1998
1136, -559, 1998
991, -546, 1998
946, -339, 1998
839, -293, 1998
742, -201, 1998
742, -201, 1998
-,-,-
-170, 303, 950
-126, 289, 981
-114, 137, 1035
-116, 50, 1106
-114, 74, 1160
-89, 162, 1040
-114, 200, 987
-114, 200, 987
-126, 175, 1048
-113, 110, 1052
-57, 135, 843
-55, 150, 686
-56, 156, 579
-47, 137, 479
-47, 137, 479
-35, 106, 392
-50, 121, 225
-60, 141, -35
-84, 121, -110
-81, 61, 64
-81, 61, 64
-52, 82, 226
-20, 91, 123
22, -104, -374
22, -104, -374
53, -478, -318
